query_expansion_mode,n_queries,query_gen_prompt_level,qpp,initial_retrieval_k_docs,first_step_ranker,reranker,context_words_limit,rag_prompt_level,relevance_score,faithfulness_score
none,8,medium,no,50,both_fusion,logits,15000,naive,1.75,0.59
none,8,advanced,no,50,both_fusion,logits,10000,naive,1.74,0.56
none,8,advanced,no,50,both_fusion,logits,15000,naive,1.74,0.55
none,8,medium,no,50,both_fusion,logits,10000,naive,1.74,0.59
none,8,advanced,no,100,both_fusion,logits,10000,naive,1.73,0.49
none,8,advanced,no,100,both_fusion,logits,15000,naive,1.73,0.6
none,8,medium,no,100,both_fusion,logits,10000,naive,1.73,0.58
none,8,medium,no,100,both_fusion,logits,15000,naive,1.72,0.57
none,8,medium,no,100,both_fusion,logits,15000,advanced,1.71,0.61
none,8,advanced,no,100,both_concat,logits,10000,advanced,1.7,0.55
none,8,medium,no,100,both_fusion,logits,10000,advanced,1.7,0.61
none,8,advanced,no,100,both_fusion,logits,10000,advanced,1.69,0.62
none,8,advanced,no,50,both_fusion,logits,10000,advanced,1.68,0.6
none,8,medium,no,50,both_concat,logits,15000,advanced,1.66,0.63
none,8,medium,no,100,both_concat,logits,10000,naive,1.66,0.58
none,8,advanced,no,50,both_concat,logits,15000,advanced,1.66,0.58
variants,8,advanced,no,100,both_fusion,logits,10000,naive,1.6565656565656566,0.5757575757575758
variants,8,advanced,no,100,both_concat,logits,15000,advanced,1.65,0.52
none,8,medium,no,50,both_concat,logits,10000,naive,1.65,0.51
none,8,advanced,no,100,both_concat,logits,10000,naive,1.65,0.56
none,8,advanced,no,50,both_concat,logits,15000,naive,1.65,0.58
none,8,medium,no,50,both_fusion,logits,10000,advanced,1.65,0.61
variants,8,medium,no,50,both_fusion,logits,10000,naive,1.6464646464646464,0.494949494949495
none,8,advanced,no,100,both_concat,logits,15000,advanced,1.64,0.55
variants,8,advanced,no,50,both_concat,logits,10000,naive,1.64,0.58
none,8,advanced,no,100,both_fusion,logits,15000,advanced,1.64,0.57
none,8,advanced,no,50,both_fusion,logits,15000,advanced,1.64,0.64
none,8,medium,no,50,both_concat,logits,10000,advanced,1.64,0.55
none,8,medium,no,100,both_concat,logits,15000,naive,1.64,0.51
none,8,medium,no,100,both_concat,logits,10000,advanced,1.63,0.55
variants,8,advanced,no,100,both_concat,logits,10000,naive,1.63,0.55
none,8,advanced,no,50,both_concat,logits,10000,naive,1.63,0.52
variants,8,advanced,no,100,both_fusion,logits,15000,naive,1.63,0.5
none,8,medium,no,100,both_concat,logits,15000,advanced,1.62,0.56
none,8,advanced,no,100,both_concat,logits,15000,naive,1.62,0.54
none,8,advanced,no,50,both_concat,logits,10000,advanced,1.62,0.59
variants,8,advanced,no,100,both_concat,logits,10000,advanced,1.61,0.57
variants,8,advanced,no,100,both_concat,logits,15000,naive,1.61,0.45
variants,8,medium,no,50,both_fusion,logits,15000,naive,1.61,0.52
none,8,medium,no,50,both_fusion,logits,15000,advanced,1.61,0.64
variants,8,advanced,no,50,both_fusion,logits,15000,naive,1.61,0.55
none,8,medium,no,50,both_concat,logits,15000,naive,1.61,0.57
variants,8,advanced,no,50,both_concat,logits,15000,naive,1.6,0.52
variants,8,medium,no,100,both_fusion,logits,15000,naive,1.59,0.42
variants,8,advanced,no,100,both_fusion,logits,10000,advanced,1.58,0.58
variants,8,advanced,no,50,both_fusion,logits,10000,naive,1.58,0.52
variants,8,advanced,no,50,both_fusion,logits,10000,advanced,1.57,0.55
variants,8,medium,no,100,both_fusion,logits,10000,naive,1.5656565656565655,0.5353535353535354
variants,8,advanced,no,50,both_concat,logits,15000,advanced,1.56,0.65
variants,8,advanced,no,100,both_fusion,logits,15000,advanced,1.56,0.51
variants,8,medium,no,50,both_concat,logits,15000,naive,1.56,0.51
variants,8,medium,no,100,both_concat,logits,15000,advanced,1.55,0.5
decomposition,8,advanced,no,100,both_concat,logits,15000,naive,1.5454545454545454,0.5050505050505051
decomposition,8,advanced,no,100,both_concat,logits,10000,naive,1.5454545454545454,0.5757575757575758
variants,8,medium,no,50,both_concat,logits,10000,naive,1.54,0.49
variants,8,medium,no,100,both_concat,logits,15000,naive,1.54,0.44
variants,8,advanced,no,50,both_fusion,logits,15000,advanced,1.54,0.6
decomposition,8,medium,no,100,both_fusion,logits,15000,advanced,1.5353535353535352,0.5959595959595959
variants,8,medium,no,100,both_concat,logits,10000,naive,1.53,0.53
variants,8,medium,no,50,both_fusion,logits,10000,advanced,1.53,0.57
variants,8,medium,no,100,both_concat,logits,10000,advanced,1.53,0.55
variants,8,advanced,no,50,both_concat,logits,10000,advanced,1.52,0.56
decomposition,8,advanced,no,50,both_concat,logits,10000,naive,1.52,0.61
variants,8,medium,no,100,both_fusion,logits,15000,advanced,1.5151515151515151,0.5050505050505051
decomposition,8,medium,no,100,both_concat,logits,10000,naive,1.51,0.54
variants,8,medium,no,50,both_concat,logits,10000,advanced,1.51,0.54
variants,8,medium,no,100,both_fusion,logits,10000,advanced,1.51,0.59
variants,8,medium,no,50,both_concat,logits,15000,advanced,1.5,0.54
variants,8,medium,no,50,both_fusion,logits,15000,advanced,1.5,0.52
decomposition,8,medium,no,100,both_concat,logits,15000,naive,1.5,0.5
decomposition,8,advanced,no,50,both_concat,logits,15000,naive,1.5,0.55
decomposition,8,medium,no,50,both_concat,logits,10000,naive,1.49,0.48
decomposition,8,advanced,no,100,both_fusion,logits,15000,naive,1.49,0.47
decomposition,8,advanced,no,100,both_concat,logits,10000,advanced,1.48,0.61
decomposition,8,medium,no,50,both_concat,logits,15000,naive,1.47,0.52
decomposition,8,medium,no,100,both_fusion,logits,10000,advanced,1.47,0.58
decomposition,8,medium,no,50,both_fusion,logits,10000,advanced,1.47,0.68
decomposition,8,medium,no,50,both_fusion,logits,15000,naive,1.47,0.5
decomposition,8,medium,no,50,both_fusion,logits,10000,naive,1.46,0.52
decomposition,8,advanced,no,50,both_fusion,logits,10000,naive,1.46,0.48
decomposition,8,medium,no,100,both_fusion,logits,10000,naive,1.46,0.52
decomposition,8,advanced,no,50,both_fusion,logits,15000,naive,1.46,0.48
decomposition,8,advanced,no,100,both_concat,logits,15000,advanced,1.4545454545454546,0.5151515151515151
decomposition,8,medium,no,50,both_concat,logits,10000,advanced,1.45,0.57
decomposition,8,medium,no,100,both_concat,logits,15000,advanced,1.45,0.61
decomposition,8,advanced,no,50,both_fusion,logits,15000,advanced,1.43,0.6
decomposition,8,advanced,no,50,both_fusion,logits,10000,advanced,1.43,0.62
decomposition,8,medium,no,100,both_fusion,logits,15000,naive,1.42,0.41
decomposition,8,advanced,no,50,both_concat,logits,10000,advanced,1.42,0.6
